respondent,T,I,F,T+F,paraconsistent
1,0.6832,0.591,0.6856,1.3688,YES
2,0.8524,0.6009,0.3946,1.247,YES
3,0.7785,0.5702,0.6634,1.4419,YES
4,0.7352,0.6801,0.9533,1.6885,YES
5,0.8433,0.6533,0.554,1.3973,YES
6,0.5091,0.6832,0.9843,1.4934,YES
7,0.7203,0.6056,0.8207,1.541,YES
8,0.4213,0.5603,0.812,1.2333,YES
9,0.8867,0.5761,0.7881,1.6748,YES
10,0.7616,0.8011,0.4752,1.2369,YES
11,0.8257,0.2958,0.1588,0.9845,NO
12,0.5906,0.4275,0.893,1.4836,YES
13,0.8449,0.3608,0.8869,1.7318,YES
14,0.5116,0.61,0.6473,1.1588,YES
15,0.7349,0.8091,0.8431,1.578,YES
16,0.782,0.772,0.8095,1.5915,YES
17,0.5866,0.4712,0.6103,1.1969,YES
18,0.8119,0.574,1.0,1.8119,YES
19,0.5481,0.3872,0.8704,1.4185,YES
20,0.9964,0.7403,0.8845,1.8809,YES
21,0.9973,0.6083,0.4102,1.4074,YES
22,0.6056,0.8386,0.4058,1.0114,YES
23,0.7187,0.6847,0.6427,1.3614,YES
24,0.8567,0.7568,1.0,1.8567,YES
25,0.836,0.4949,0.591,1.427,YES
26,0.5457,0.8385,0.59,1.1356,YES
27,0.6979,0.7938,0.5571,1.255,YES
28,0.6533,0.2239,0.4817,1.1349,YES
29,0.5985,0.7205,0.9596,1.5581,YES
30,0.7083,0.6865,0.7443,1.4526,YES
31,0.9289,0.8255,0.7665,1.6954,YES
32,0.5098,0.8277,0.789,1.2988,YES
33,0.9574,0.6224,1.0,1.9574,YES
34,0.6402,0.9795,0.7332,1.3734,YES
35,0.6087,0.3807,0.6773,1.286,YES
36,0.9967,0.8086,0.8537,1.8503,YES
37,0.2368,0.7854,0.8257,1.0626,YES
38,0.602,0.491,0.7085,1.3105,YES
39,1.0,0.3969,0.6192,1.6192,YES
40,0.9844,0.5308,0.6325,1.6169,YES
41,0.7316,0.3559,0.7552,1.4867,YES
42,0.4701,0.8237,0.7097,1.1797,YES
43,1.0,0.6908,0.9958,1.9958,YES
44,0.4513,0.6021,0.7769,1.2282,YES
45,1.0,0.2592,0.917,1.917,YES
46,0.8303,0.9664,0.8586,1.6889,YES
47,0.7224,0.5142,0.4469,1.1693,YES
48,0.7511,0.5868,1.0,1.7511,YES
49,0.5898,0.6995,0.3795,0.9693,NO
50,0.6329,0.6865,0.882,1.5149,YES
51,1.0,0.6193,0.4744,1.4744,YES
52,0.8036,0.7427,0.8122,1.6158,YES
53,0.5719,0.8783,0.7275,1.2994,YES
54,0.852,0.9093,0.8369,1.6889,YES
55,0.7693,1.0,0.7602,1.5295,YES
56,0.6528,0.6536,1.0,1.6528,YES
57,0.7357,0.7433,0.9601,1.6958,YES
58,0.6094,0.2492,0.7719,1.3813,YES
59,0.7579,0.4952,0.8919,1.6499,YES
60,0.8335,0.4101,0.8178,1.6513,YES
61,0.6728,0.3027,0.8041,1.4769,YES
62,0.703,0.465,0.8188,1.5218,YES
63,0.8096,0.5019,0.7931,1.6027,YES
64,0.915,0.4722,0.789,1.704,YES
65,0.7126,1.0,0.3179,1.0305,YES
66,0.8511,0.5616,0.688,1.539,YES
67,1.0,0.6271,1.0,2.0,YES
68,0.6236,0.7061,0.6059,1.2295,YES
69,0.5739,0.6427,0.6497,1.2235,YES
70,0.7525,0.1659,1.0,1.7525,YES
71,0.6786,1.0,0.4975,1.1761,YES
72,0.7705,1.0,0.5264,1.2969,YES
73,0.4129,0.5088,0.8082,1.2212,YES
74,0.8507,0.9129,0.655,1.5057,YES
75,0.3915,0.5333,0.9694,1.361,YES
